obsid,mjd_mid,tspan_s,n_ph,f0,sigma_f,h_stat,z2_1,detected
2020180317,58602.60451327,709.9,31069,,,6.3,5.3,False
2020180316,58592.06101975,6151.7,51183,,,10.5,10.5,False
2020180319,58610.26038028,246.9,618,,,1.7,1.7,False
1020180318,58543.50679738,0.0,366593,11.185386182,6.182e-07,130.5,56.5,True
2020180321,,,,,,,,False
2020180312,58584.21727041,0.0,123319,11.185328988,2.014e-06,66.1,35.8,True
2020180315,58591.86843324,0.0,75645,11.185326275,2.985e-06,45.6,33.7,True
2020180310,58575.81950695,0.0,206616,11.185341370,1.799e-06,121.9,67.3,True
2020180318,58609.54913492,0.0,59848,11.185291541,5.761e-06,30.9,15.1,True
2020180320,58612.64117748,0.0,63770,11.185294332,2.268e-06,36.1,17.0,True
2020180322,58626.26682102,0.0,59665,11.185271388,1.009e-06,32.4,30.8,True
2020180324,58628.20020764,46494.7,56588,,,14.9,7.2,False
2020180329,58663.88949222,720.0,32516,,,9.3,6.6,False
2020180327,58632.12214412,0.0,81348,11.185267409,3.409e-06,49.8,24.7,True
2020180323,58627.49597333,0.0,123592,11.185289689,6.976e-07,55.8,46.4,True
2020180331,58665.27124240,12092.5,61323,,,14.0,6.3,False
2020180328,58634.82504698,0.0,170501,11.185261144,2.682e-06,87.1,37.9,True
2020180325,58629.85461299,0.0,218810,11.185267811,1.789e-06,114.6,40.5,True
2020180330,58664.40283315,0.0,167960,11.185226815,8.374e-07,69.3,51.7,True
2020180326,58630.53220158,0.0,444755,11.185270234,8.654e-07,111.9,68.3,True
2020180332,58666.35179568,0.0,286991,11.185221788,6.558e-07,110.1,57.8,True
2020180333,58667.50180016,0.0,224437,11.185219783,5.478e-07,102.4,72.4,True
2020180334,58668.59879183,0.0,293626,11.185218173,6.826e-07,142.3,56.7,True
2020180335,58669.50282417,0.0,407573,11.185216633,6.979e-07,136.8,44.2,True
2020180338,58673.79961131,0.0,199485,11.185212048,1.720e-06,98.5,46.8,True
2020180336,58670.48355267,0.0,487003,11.185215599,5.194e-07,121.6,66.6,True
2020180342,58677.81564416,618.0,31175,,,1.0,1.0,False
2020180343,58680.41165527,449.9,20743,,,13.7,12.7,False
2020180345,58687.22068141,67251.0,822,,,5.1,2.3,False
2020180346,,,,,,,,False
2020180347,,,,,,,,False
2020180348,,,,,,,,False
2020180349,,,,,,,,False
2020180350,,,,,,,,False
2020180351,,,,,,,,False
2020180352,,,,,,,,False
2020180353,,,,,,,,False
2020180344,58686.75033257,50325.6,13558,,,6.8,6.8,False
2020180340,58675.46890478,0.0,135741,11.185139006,9.187e-07,26.7,26.7,True
2020180356,58700.12246001,11192.8,8751,0.000000004,1.529e-07,139988.0,17502.0,True
2020180357,,,,,,,,False
2020180355,58699.22372141,11196.8,14311,-0.000000001,1.446e-07,228945.1,28622.0,True
2020180358,,,,,,,,False
2020180359,,,,,,,,False
2020180360,,,,,,,,False
2020180361,,,,,,,,False
2020180362,,,,,,,,False
2020180363,,,,,,,,False
2020180364,,,,,,,,False
2020180365,,,,,,,,False
2020180366,,,,,,,,False
2020180367,,,,,,,,False
2020180368,,,,,,,,False
2020180337,58671.58910249,0.0,362025,11.185213447,6.495e-07,173.6,70.9,True
2020180369,,,,,,,,False
2020180354,58698.70043807,66875.8,29847,-0.000000175,2.100e-08,473043.9,59671.9,True
2020180370,,,,,,,,False
2020180371,,,,,,,,False
2020180339,58674.23920831,0.0,248871,11.185214063,2.292e-06,31.4,18.0,True
2020180372,,,,,,,,False
2020180373,,,,,,,,False
2020180341,58676.12755351,0.0,102410,11.185171141,1.846e-06,32.7,24.3,True
2020180374,,,,,,,,False
2020180375,,,,,,,,False
2020180377,,,,,,,,False
2020180376,,,,,,,,False
2020180379,,,,,,,,False
2020180380,,,,,,,,False
2020180381,,,,,,,,False
2020180382,58757.86376425,225.0,9648,,,5.0,2.0,False
2020180383,58758.57842802,61792.8,4194,,,5.7,2.7,False
2020180378,58749.90689807,66945.4,6962,-0.000015362,4.552e-08,111322.8,13923.8,True
2020180384,58759.66416828,84066.5,12712,,,6.6,3.5,False
2020180390,58803.30774380,270.0,11712,,,9.8,3.0,False
2020180389,58802.34078611,890.0,17876,,,14.4,13.9,False
2020180387,58800.72952619,0.0,30537,11.185115856,1.555e-04,28.0,12.1,True
2020180386,58779.16203805,0.0,31392,11.185094117,4.568e-05,46.8,27.4,True
2020180388,58801.11588181,609.0,26373,,,10.1,10.1,False
2020180394,,,,,,,,False
2020180393,,,,,,,,False
2020180395,,,,,,,,False
2020180396,58826.99512113,227.0,9854,,,18.2,13.0,False
2020180385,58777.86376691,11397.5,32460,,,12.5,10.1,False
2020180399,58842.45813111,220.9,9248,,,1.6,1.6,False
2020180401,58843.27444527,0.0,26893,11.184980243,4.274e-06,33.2,24.3,True
2020180398,58829.20580301,39292.8,34007,11.185001853,2.103e-06,21.4,12.5,True
2020180397,58827.38072915,22107.0,45372,11.185003826,3.044e-06,24.1,16.6,True
2020180391,58804.78948201,0.0,79788,11.185027605,1.799e-06,28.4,28.4,True
2020180402,58844.64420776,45955.9,70186,,,14.7,14.7,False
2020180405,58847.31578879,5640.1,33255,,,8.1,3.4,False
2020180408,58876.89147979,268.9,11009,,,7.4,1.9,False
2020180392,58805.53265206,0.0,105074,11.185031438,1.065e-06,28.0,16.5,True
2020180406,58868.80940969,857.0,32298,,,13.8,11.4,False
2020180409,58879.58761542,534.0,22894,,,12.0,3.4,False
2020180403,58845.71066452,0.0,78619,11.184979480,2.533e-06,41.1,13.3,True
2020180412,58890.24744453,22559.2,20820,,,14.9,2.7,False
2020180407,58872.81705700,0.0,65501,11.184942301,5.069e-06,43.5,28.4,True
2020180415,58895.26827251,212.0,9170,-0.000000000,1.363e-05,146692.0,18340.0,True
2020180414,58894.33234015,5778.0,16972,0.000000000,2.189e-07,271524.0,33944.0,True
2020180410,58881.47804139,0.0,48702,11.184930620,1.050e-06,33.4,22.2,True
2020180411,58882.53792190,78399.2,60292,11.184930292,7.746e-07,21.1,20.8,True
2020180418,58907.98488640,518.0,22166,0.000000000,3.595e-06,354628.0,44332.0,True
3020180402,58957.26513122,288.0,12450,,,5.9,5.9,False
3020180403,58992.96820006,186.0,8154,,,2.2,1.8,False
2020180416,58905.79757730,22416.8,30780,0.000000006,5.008e-08,492399.0,61559.7,True
3020180404,58993.80703120,148.9,6544,,,5.8,5.8,False
2020180413,58891.28005850,22691.2,65591,,,6.9,6.9,False
3020180401,58952.93759219,455.9,19905,-0.000000000,4.293e-06,318452.0,39810.0,True
2020180417,58906.57498005,17589.9,37115,0.000000033,4.967e-08,593811.8,74230.0,True
3020180405,58995.83852440,5868.7,26020,,,6.5,6.5,False
3020180406,58996.86904907,5932.6,30630,,,14.9,7.1,False
2020180404,58846.51323244,0.0,174358,11.184974468,1.008e-06,78.3,57.9,True
3020180412,,,,,,,,False
3020180413,59027.75608034,465.0,18310,,,5.2,5.2,False
3020180411,59001.74593552,28197.6,26889,,,5.0,5.0,False
3020180410,59000.36425095,0.0,64020,11.184768373,2.577e-06,40.9,18.1,True
3020180415,59030.49578385,6174.8,59743,,,4.1,4.1,False
3020180407,58997.50476092,0.0,123589,11.184772168,7.565e-07,51.5,37.0,True
3020180416,59031.91689806,6309.7,65438,,,9.8,9.8,False
3020180419,59034.59326220,222.0,12178,,,2.5,1.3,False
3020180418,59033.17559375,776.0,40692,,,5.5,5.5,False
3020180420,59038.72970173,344.0,21130,,,6.5,5.0,False
3020180422,59049.13708511,181.0,13505,-0.000000000,1.327e-05,216052.0,27010.0,True
3020180423,,,,,,,,False
3020180424,,,,,,,,False
3020180425,,,,,,,,False
3020180414,59029.31884096,0.0,127926,11.184732068,2.552e-06,30.9,14.4,True
3020180426,,,,,,,,False
3020180428,,,,,,,,False
