BatchStart
|obsid         |prnb |status          |pi_lname    |pi_fname|target_name  |ra        |dec      |time                 |duration|exposure|_Search_Offset                |
|80146-01-09-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 28.1|-31 55 08|2003-04-22 05:38:34.4|    9244|    6468|19.061 (17 46 15.6, -32 14 01)|
|80146-01-63-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-10 11:31:24.1|   12223|    6310| 0.037 (17 46 15.6, -32 14 01)|
|95368-01-01-00|95368|archived        |REMILLARD   |RONALD  |H1743-322    |17 46 16.8|-32 14 24|2010-08-09 05:37:51.2|   10396|    6137| 0.460 (17 46 15.6, -32 14 01)|
|80146-01-54-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-01 13:37:06.8|   11599|    5897| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-74-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-20 11:34:27.3|   11625|    5764| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-80-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-27 10:51:44.6|   11654|    5730| 0.037 (17 46 15.6, -32 14 01)|
|93427-01-03-01|93427|archived        |TOO         |PUBLIC  |H_1743-322   |17 46 16.8|-32 14 24|2008-01-27 04:03:32.8|   10419|    5451| 0.460 (17 46 15.6, -32 14 01)|
|80146-01-64-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-10 21:14:56.8|    7510|    5342| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-69-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-15 10:08:06.7|   11531|    5278| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-23-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-02 13:23:15.6|   11692|    5247| 0.037 (17 46 15.6, -32 14 01)|
|80137-01-32-00|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-11-05 04:31:07.4|    7740|    5166| 0.037 (17 46 15.6, -32 14 01)|
|90115-01-04-20|90115|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2004-10-24 19:53:06.7|    7407|    5068| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-76-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-22 14:43:07.4|    9413|    4971| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-81-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-28 11:56:37.8|    7950|    4963| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-79-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-26 12:41:42.1|    8125|    4891| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-65-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-11 20:47:55.1|    7694|    4864| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-86-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-07-03 10:25:11.4|    7732|    4772| 0.037 (17 46 15.6, -32 14 01)|
