BatchStart
|obsid         |prnb |status           |pi_lname    |pi_fname|target_name |ra        |dec      |time                 |duration|exposure|_Search_Offset      |
|91702-01-03-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-14 12:52:56.9|   22991|   13805|0.024 (GRO J1655-40)|
|91702-01-14-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|  2005-03-26 06:53:54|   19962|   13687|0.024 (GRO J1655-40)|
|91702-01-06-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-18 11:15:47.5|   21110|   13581|0.024 (GRO J1655-40)|
|91702-01-07-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-19 14:04:56.9|   20921|   13580|0.024 (GRO J1655-40)|
|91702-01-19-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-01 13:53:02.4|   22000|   13254|0.024 (GRO J1655-40)|
|91702-01-50-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-05-07 11:54:52.4|   20811|   13201|0.024 (GRO J1655-40)|
|91702-01-95-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-01 07:06:11.8|   23156|   12934|0.024 (GRO J1655-40)|
|91702-01-13-01|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-25 16:23:52.8|   23233|   12433|0.024 (GRO J1655-40)|
|90428-01-01-02|90428|archived         |TOO         |PUBLIC  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-02-28 16:57:51.8|   23142|   12375|0.024 (GRO J1655-40)|
|91702-01-04-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-15 14:07:07.4|   19080|   12330|0.024 (GRO J1655-40)|
|91702-01-04-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-09 00:35:58.3|   17410|   12259|0.024 (GRO J1655-40)|
|91702-01-16-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-29 06:53:07.3|   15924|   12081|0.024 (GRO J1655-40)|
|10255-01-02-00|10255|archived         |REMILLARD   |RONALD  |GRO_J1655-40|16 54 00.0|-39 50 45|1996-05-10 08:57:51.3|   22021|   11953|0.027 (GRO J1655-40)|
|91702-01-05-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-16 17:01:06.2|   20433|   11923|0.024 (GRO J1655-40)|
|91702-01-15-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-27 07:39:34.6|   15818|   11626|0.024 (GRO J1655-40)|
|91702-01-63-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-05-25 15:38:45.9|   17002|   11488|0.024 (GRO J1655-40)|
|91702-01-62-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|  2005-05-24 14:18:55|   18141|   11412|0.024 (GRO J1655-40)|
|91702-01-14-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-20 13:36:02.9|   17404|   11391|0.024 (GRO J1655-40)|
|90428-01-01-10|90428|archived         |TOO         |PUBLIC  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-03 18:54:48.4|   18319|   11357|0.024 (GRO J1655-40)|
|91702-01-51-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-09-05 06:01:20.4|   18628|   11233|0.024 (GRO J1655-40)|
|91702-01-29-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-11 00:17:40.1|   15776|   11196|0.024 (GRO J1655-40)|
|91702-01-50-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-09-02 06:38:57.1|   17890|   11136|0.024 (GRO J1655-40)|
|91702-01-07-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-13 00:40:06.2|   15817|   11026|0.024 (GRO J1655-40)|
|91702-01-74-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-09-10 11:25:35.9|   17071|   11018|0.024 (GRO J1655-40)|
|91702-01-11-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-23 10:48:52.7|   15705|   10931|0.024 (GRO J1655-40)|
|91702-01-15-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-22 14:26:07.9|   17403|   10912|0.024 (GRO J1655-40)|
|91702-01-10-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-22 11:14:36.7|   16069|   10901|0.024 (GRO J1655-40)|
|91702-01-31-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-14 19:37:22.4|   16079|   10755|0.024 (GRO J1655-40)|
|91702-01-36-11|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-10-09 22:58:04.8|   15394|   10667|0.024 (GRO J1655-40)|
|91702-01-03-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-08 02:51:13.8|   15271|   10651|0.024 (GRO J1655-40)|
|91702-01-60-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-05-20 02:15:01.7|   14166|   10613|0.024 (GRO J1655-40)|
|91702-01-47-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-05-03 13:26:43.9|   15601|   10470|0.024 (GRO J1655-40)|
|91702-01-37-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-22 16:19:41.4|   15541|   10414|0.024 (GRO J1655-40)|
|91702-01-85-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-06-22 10:35:45.6|   15830|   10403|0.024 (GRO J1655-40)|
|91702-01-38-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-23 18:40:07.1|   17015|   10377|0.024 (GRO J1655-40)|
|91702-01-80-01|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-09-19 10:52:02.8|   16190|   10374|0.024 (GRO J1655-40)|
|91702-01-61-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|  2005-05-21 14:01:46|   15502|   10346|0.024 (GRO J1655-40)|
|91702-01-34-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-17 20:01:17.5|   15204|   10329|0.024 (GRO J1655-40)|
