BatchStart
|obsid         |prnb |status  |pi_lname    |pi_fname|target_name   |ra        |dec      |time                 |duration|exposure|_Search_Offset       |
|30191-01-15-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-29 05:10:07.1|    6811|    4482|2.657 (XTE J1550-564)|
|40401-01-09-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-10 04:27:44.4|    6074|    4474|2.657 (XTE J1550-564)|
|40401-01-37-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-14 18:17:33.2|    6953|    4433|2.657 (XTE J1550-564)|
|30191-01-11-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-25 01:22:33.3|    7279|    4431|2.657 (XTE J1550-564)|
|40401-01-13-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-14 04:24:01.4|    5510|    4427|2.657 (XTE J1550-564)|
|40401-01-15-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-18 01:07:31.3|    5620|    4321|2.657 (XTE J1550-564)|
|40401-01-08-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-09 02:20:44.7|    7549|    4291|2.657 (XTE J1550-564)|
|40401-01-12-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-13 11:36:26.5|    4750|    4267|2.657 (XTE J1550-564)|
|30514-03-41-00|30514|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-11-20 21:56:12.2|    7584|    4231|2.657 (XTE J1550-564)|
|40401-01-88-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-04-27 12:17:05.6|    7226|    4190|2.657 (XTE J1550-564)|
|40401-01-03-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-04 07:53:43.9|    7498|    4173|2.657 (XTE J1550-564)|
|50137-02-04-01|50137|archived|CUI         |WEI     |XTE_J1550-564 |15 50 40.8|-56 27 36|2000-04-17 08:59:55.7|    6315|    4149|2.657 (XTE J1550-564)|
|40401-01-59-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-03-18 03:41:30.9|    7787|    4142|2.657 (XTE J1550-564)|
|60428-01-03-00|60428|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 59.0|-56 28 34|2002-01-15 02:00:31.7|    6096|    4137|0.059 (XTE J1550-564)|
|50137-02-01-00|50137|archived|CUI         |WEI     |XTE_J1550-564 |15 50 40.8|-56 27 36|2000-04-10 11:12:00.3|    7024|    4136|2.657 (XTE J1550-564)|
|40401-01-02-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-02 20:11:09.3|    6083|    4124|2.657 (XTE J1550-564)|
|30191-01-27-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-10-10 13:37:48.3|    7762|    4101|2.657 (XTE J1550-564)|
|40401-01-17-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-20 01:08:29.2|    6150|    4086|2.657 (XTE J1550-564)|
|40401-01-47-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-28 14:47:09.3|    5567|    4080|2.657 (XTE J1550-564)|
|60428-01-02-00|60428|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 59.0|-56 28 34|2002-01-13 02:27:33.4|    6094|    4073|0.059 (XTE J1550-564)|
|30191-01-08-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-22 02:57:34.8|    7462|    4069|2.657 (XTE J1550-564)|
|80135-01-04-20|80135|archived|MILLER      |JON     |XTE_J1550-564 |15 50 59.0|-56 28 34|2003-04-17 21:28:43.7|    5724|    4051|0.059 (XTE J1550-564)|
|80135-01-05-10|80135|archived|MILLER      |JON     |XTE_J1550-564 |15 50 59.0|-56 28 34|2003-04-21 00:37:44.5|    5316|    4046|0.059 (XTE J1550-564)|
|50134-02-01-01|50134|archived|LEWIN       |WALTER  |XTE_J1550-564 |15 50 40.8|-56 27 36|2000-04-26 01:22:07.4|    4553|    4008|2.657 (XTE J1550-564)|
|30435-01-28-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-12-31 19:57:04.3|    6983|    3991|2.657 (XTE J1550-564)|
|30435-01-27-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-12-30 19:57:09.5|    6976|    3961|2.657 (XTE J1550-564)|
|40401-01-86-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-04-24 10:34:13.2|    6732|    3935|2.657 (XTE J1550-564)|
|40401-01-91-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-05-01 08:10:17.5|    9542|    3923|2.657 (XTE J1550-564)|
|30435-01-26-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-12-29 20:02:06.7|    6497|    3921|2.657 (XTE J1550-564)|
|40401-01-05-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-06 16:58:52.3|    5302|    3916|2.657 (XTE J1550-564)|
|30191-01-13-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-26 23:58:45.7|    6454|    3866|2.657 (XTE J1550-564)|
|30514-03-18-00|30514|observed|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-10-08 13:37:47.4|    6382|    3863|2.657 (XTE J1550-564)|
|40401-01-87-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-04-25 10:33:56.7|    6651|    3848|2.657 (XTE J1550-564)|
|40401-01-78-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-04-11 12:40:09.7|    4358|    3819|2.657 (XTE J1550-564)|
|40401-01-89-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-04-29 08:47:44.7|    7254|    3812|2.657 (XTE J1550-564)|
|30188-06-07-00|30188|archived|CUI         |WEI     |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-14 03:04:48.6|    5965|    3804|2.657 (XTE J1550-564)|
|40401-01-58-01|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-03-17 02:06:58.8|    4829|    3783|2.657 (XTE J1550-564)|
|30191-01-39-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-11-03 23:51:20.7|    4167|    3738|2.657 (XTE J1550-564)|
|40401-01-97-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-05-11 17:12:34.8|    4267|    3709|2.657 (XTE J1550-564)|
|30191-01-38-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-11-01 23:50:39.3|    4268|    3699|2.657 (XTE J1550-564)|
|40401-01-71-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-04-02 17:45:09.2|    6208|    3687|2.657 (XTE J1550-564)|
|30191-01-05-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-21 03:21:44.6|    6143|    3687|2.657 (XTE J1550-564)|
|40401-01-32-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-07 20:01:07.1|    5017|    3649|2.657 (XTE J1550-564)|
|40401-01-41-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-19 16:31:34.2|    5469|    3621|2.657 (XTE J1550-564)|
|40401-01-70-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-04-01 16:11:01.2|    5788|    3606|2.657 (XTE J1550-564)|
|80135-01-01-01|80135|archived|MILLER      |JON     |XTE_J1550-564 |15 50 59.0|-56 28 35|2003-03-27 20:03:36.6|    4072|    3582|0.046 (XTE J1550-564)|
